colour	x	y	showSelected1	showSelected2	fill
#4283C9	4	0.909859317102744	25	hit	#4283C9
#0D3A6B	5	0.273239544735163	25	miss	#0D3A6B
#4283C9	6	0.591549430918953	25	hit	#4283C9
#0D3A6B	7	0.273239544735163	25	miss	#0D3A6B
#0D3A6B	8	0.114084601643267	25	miss	#0D3A6B
#4283C9	9	0.273239544735163	25	hit	#4283C9
#4283C9	10	0.432394487827058	25	hit	#4283C9
#4283C9	11	0.591549430918953	25	hit	#4283C9
#0D3A6B	12	0.400563499208679	25	miss	#0D3A6B
#0D3A6B	13	0.273239544735163	25	miss	#0D3A6B
#0D3A6B	14	0.182293862968365	25	miss	#0D3A6B
#0D3A6B	15	0.114084601643267	25	miss	#0D3A6B
#4283C9	16	0.193662073189215	25	hit	#4283C9
#4283C9	17	0.273239544735163	25	hit	#4283C9
#4283C9	18	0.35281701628111	25	hit	#4283C9
#0D3A6B	19	0.273239544735163	25	miss	#0D3A6B
#0D3A6B	20	0.209577567498405	25	miss	#0D3A6B
#4283C9	21	0.273239544735163	25	hit	#4283C9
#0D3A6B	22	0.215365019974474	25	miss	#0D3A6B
#4283C9	23	0.273239544735163	25	hit	#4283C9
#4283C9	24	0.331114069495852	25	hit	#4283C9
#4283C9	25	0.388988594256541	25	hit	#4283C9
#0D3A6B	26	0.326291192432461	25	miss	#0D3A6B
#0D3A6B	2	0.363380227632419	26	miss	#0D3A6B
#4283C9	3	0.273239544735163	26	hit	#4283C9
#4283C9	4	0.909859317102744	26	hit	#4283C9
#0D3A6B	5	0.273239544735163	26	miss	#0D3A6B
#4283C9	6	0.591549430918953	26	hit	#4283C9
#0D3A6B	7	0.273239544735163	26	miss	#0D3A6B
#0D3A6B	8	0.114084601643267	26	miss	#0D3A6B
#4283C9	9	0.273239544735163	26	hit	#4283C9
#4283C9	10	0.432394487827058	26	hit	#4283C9
#4283C9	11	0.591549430918953	26	hit	#4283C9
#0D3A6B	12	0.400563499208679	26	miss	#0D3A6B
#0D3A6B	13	0.273239544735163	26	miss	#0D3A6B
#0D3A6B	14	0.182293862968365	26	miss	#0D3A6B
#0D3A6B	15	0.114084601643267	26	miss	#0D3A6B
#4283C9	16	0.193662073189215	26	hit	#4283C9
#4283C9	17	0.273239544735163	26	hit	#4283C9
#4283C9	18	0.35281701628111	26	hit	#4283C9
#0D3A6B	19	0.273239544735163	26	miss	#0D3A6B
#0D3A6B	20	0.209577567498405	26	miss	#0D3A6B
#4283C9	21	0.273239544735163	26	hit	#4283C9
#0D3A6B	22	0.215365019974474	26	miss	#0D3A6B
#4283C9	23	0.273239544735163	26	hit	#4283C9
#4283C9	24	0.331114069495852	26	hit	#4283C9
#4283C9	25	0.388988594256541	26	hit	#4283C9
#0D3A6B	26	0.326291192432461	26	miss	#0D3A6B
#0D3A6B	27	0.273239544735163	26	miss	#0D3A6B
#0D3A6B	2	0.363380227632419	27	miss	#0D3A6B
#4283C9	3	0.273239544735163	27	hit	#4283C9
#4283C9	4	0.909859317102744	27	hit	#4283C9
#0D3A6B	5	0.273239544735163	27	miss	#0D3A6B
#4283C9	6	0.591549430918953	27	hit	#4283C9
#0D3A6B	7	0.273239544735163	27	miss	#0D3A6B
#0D3A6B	8	0.114084601643267	27	miss	#0D3A6B
#4283C9	9	0.273239544735163	27	hit	#4283C9
#4283C9	10	0.432394487827058	27	hit	#4283C9
